Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Ramilândia";"PR";"4500";"Sim";"30,18%";"--";"50,6%";"Não há"
"Rancharia";"SP";"29743";"Em elaboração";"0,12%";"0,12%";"10,33%";"0,1%"
"Rancho Alegre";"PR";"3760";"Sim";"0,03%";"--";"Atendimento Pleno";"1,8%"
"Rancho Alegre D'Oeste";"PR";"2602";"Sim";"0,04%";"--";"19,1%";"Não há"
"Rancho Queimado";"SC";"2897";"Sim";"44,01%";"70,94%";"49,91%";"8,7%"
"Raposa";"MA";"31586";"Sim";"--";"--";"36,68%";"--"
"Raposos";"MG";"16501";"Não";"16,17%";"29,05%";"Atendimento Pleno";"50%"
"Raul Soares";"MG";"23663";"Sim";"6,28%";"25,72%";"23,93%";"1%"
"Realeza";"PR";"16976";"Em elaboração";"0,01%";"28,44%";"11,64%";"Não há"
"Rebouças";"PR";"14991";"Não";"25,4%";"42,38%";"47,06%";"2,6%"
"Recife";"PE";"1661017";"Em elaboração";"3,57%";"55,01%";"Atendimento Pleno";"13%"
"Recreio";"MG";"10522";"Não";"0,04%";"11,94%";"11,92%";"12%"
"Recursolândia";"TO";"4389";"Sim";"14,65%";"--";"--";"Não há"
"Redenção";"CE";"29238";"Em elaboração";"58,71%";"98,2%";"21,34%";"Não há"
"Redenção";"PA";"86326";"Não";"51,19%";"94,66%";"7,27%";"0,2%"
"Redenção da Serra";"SP";"3827";"Sim";"51,08%";"59,76%";"4,91%";"Não há"
"Redenção do Gurguéia";"PI";"8814";"Sim";"Atendimento Pleno";"--";"36,49%";"Não há"
"Redentora";"RS";"11782";"Sim";"70,44%";"--";"49,41%";"Não há"
"Reduto";"MG";"7247";"Sim";"2,03%";"33,54%";"Atendimento Pleno";"Não há"
"Regeneração";"PI";"17979";"Não";"37,15%";"--";"44,38%";"0,3%"
"Regente Feijó";"SP";"20523";"Sim";"Atendimento Pleno";"Atendimento Pleno";"7,82%";"Não há"
"Reginópolis";"SP";"10047";"Em elaboração";"7,93%";"58,08%";"40,43%";"1,7%"
"Registro";"SP";"56463";"Sim";"Atendimento Pleno";"5,63%";"Atendimento Pleno";"1,8%"
"Relvado";"RS";"2068";"Sim";"0,48%";"--";"33,03%";"Não há"
"Remanso";"BA";"41324";"Em elaboração";"18,86%";"39%";"39,75%";"Não há"
"Remígio";"PB";"19973";"Não";"Sem Atendimento";"--";"42,11%";"Não há"
"Renascença";"PR";"6772";"Não";"30,79%";"41,33%";"Atendimento Pleno";"Não há"
"Reriutaba";"CE";"18279";"Não";"68,69%";"--";"--";"--"
"Resende";"RJ";"133244";"Sim";"3,52%";"4,92%";"Atendimento Pleno";"1,2%"
"Resende Costa";"MG";"11578";"Sim";"26,8%";"64,81%";"4,99%";"Não há"
"Reserva";"PR";"26933";"Não";"21,18%";"46,82%";"40,59%";"Não há"
"Reserva do Cabaçal";"MT";"2754";"Sim";"27,38%";"--";"--";"--"
"Reserva do Iguaçu";"PR";"8127";"Sim";"36,4%";"52,12%";"19,4%";"Não há"
"Resplendor";"MG";"17396";"Sim";"41,03%";"54,76%";"24,91%";"8,5%"
"Ressaquinha";"MG";"4826";"Sim";"35,37%";"--";"35,83%";"Não há"
"Restinga";"SP";"7762";"Sim";"5,39%";"8,37%";"21,37%";"Não há"
"Restinga Sêca";"RS";"15702";"Sim";"43,33%";"--";"Atendimento Pleno";"0,4%"
"Retirolândia";"BA";"14588";"Não";"16,07%";"--";"1,97%";"Não há"
"Riachão";"MA";"20288";"Não";"48,72%";"--";"--";"--"
"Riachão";"PB";"3650";"Não";"Sem Atendimento";"--";"31,51%";"Não há"
"Riachão das Neves";"BA";"22330";"Não";"49,53%";"--";"51,03%";"--"
"Riachão do Bacamarte";"PB";"4562";"Em elaboração";"Sem Atendimento";"--";"--";"--"
"Riachão do Dantas";"SE";"19813";"Não";"38,2%";"--";"41,78%";"Não há"
"Riachão do Jacuípe";"BA";"33498";"Em elaboração";"16,51%";"98,61%";"40,13%";"5%"
"Riachão do Poço";"PB";"4571";"Não";"--";"--";"--";"--"
"Riachinho";"MG";"8132";"Não";"44,82%";"--";"26,22%";"0,6%"
"Riachinho";"TO";"4723";"Não";"4,57%";"--";"80,94%";"10,7%"
"Riacho da Cruz";"RN";"3648";"Sim";"45,67%";"--";"5,43%";"Não há"
"Riacho das Almas";"PE";"20744";"Não";"41,11%";"12,75%";"30,1%";"8,2%"
"Riacho de Santana";"BA";"35757";"Em elaboração";"46,15%";"--";"49,46%";"Não há"
"Riacho de Santana";"RN";"4194";"Em elaboração";"66,55%";"--";"58,85%";"Não há"
"Riacho de Santo Antônio";"PB";"1999";"Em elaboração";"Sem Atendimento";"60,93%";"31,12%";"Não há"
"Riacho dos Cavalos";"PB";"8555";"Não";"Sem Atendimento";"53,24%";"51,58%";"Não há"
"Riacho dos Machados";"MG";"9471";"Em elaboração";"51%";"71,37%";"53,05%";"5%"
"Riacho Frio";"PI";"4306";"Não";"21,3%";"--";"--";"--"
"Riachuelo";"RN";"8310";"Em elaboração";"18,32%";"39,09%";"--";"--"
"Riachuelo";"SE";"10354";"Em elaboração";"19,23%";"--";"Atendimento Pleno";"11,3%"
"Rialma";"GO";"10961";"Em elaboração";"4,99%";"--";"6,89%";"--"
"Rianápolis";"GO";"4832";"Sim";"9,04%";"--";"10,91%";"Não há"
"Ribamar Fiquene";"MA";"7859";"Não";"--";"--";"--";"--"
"Ribas do Rio Pardo";"MS";"25310";"Em elaboração";"38,72%";"49,35%";"38,1%";"0,5%"
"Ribeira";"SP";"3320";"Sim";"20,84%";"67,71%";"39,37%";"12,9%"
"Ribeira do Amparo";"BA";"14631";"Não";"86,69%";"--";"50%";"Não há"
"Ribeira do Piauí";"PI";"4499";"Não";"Atendimento Pleno";"--";"50,01%";"Não há"
"Ribeira do Pombal";"BA";"54097";"Em elaboração";"30,26%";"--";"16,82%";"1,4%"
"Ribeirão";"PE";"47813";"Em elaboração";"29%";"--";"--";"--"
"Ribeirão Bonito";"SP";"13376";"Em elaboração";"0,57%";"0,57%";"7,54%";"Não há"
"Ribeirão Branco";"SP";"15984";"Em elaboração";"13,9%";"42,43%";"10,54%";"Não há"
"Ribeirão Cascalheira";"MT";"10450";"Em elaboração";"38%";"--";"71,29%";"Não há"
"Ribeirão Claro";"PR";"10622";"Sim";"Atendimento Pleno";"33,65%";"23,18%";"0,6%"
"Ribeirão Corrente";"SP";"4786";"Sim";"16,15%";"16,88%";"10,01%";"Não há"
"Ribeirão das Neves";"MG";"341415";"Sim";"19,18%";"28,91%";"0,73%";"0,2%"
"Ribeirão do Largo";"BA";"4896";"Em elaboração";"93,34%";"30%";"--";"--"
"Ribeirão do Pinhal";"PR";"12869";"Não";"0,02%";"23,96%";"0,92%";"0,7%"
"Ribeirão do Sul";"SP";"4537";"Não";"18,27%";"20,08%";"Atendimento Pleno";"Não há"
"Ribeirão dos Índios";"SP";"2222";"Não";"5,99%";"7,7%";"--";"--"
"Ribeirão Grande";"SP";"7686";"Sim";"Atendimento Pleno";"55,36%";"34,95%";"4,3%"
"Ribeirão Pires";"SP";"125238";"Sim";"9,16%";"25,64%";"Atendimento Pleno";"9,9%"
"Ribeirão Preto";"SP";"720116";"Sim";"0,27%";"0,69%";"Atendimento Pleno";"Não há"
"Ribeirão Vermelho";"MG";"4061";"Sim";"11,13%";"7,71%";"0,27%";"4,4%"
"Ribeirãozinho";"MT";"2439";"Em elaboração";"29,81%";"29,81%";"29,32%";"Não há"
"Ribeiro Gonçalves";"PI";"7408";"Não";"31,18%";"59,29%";"19,01%";"4,4%"
"Ribeirópolis";"SE";"18891";"Em elaboração";"2,11%";"--";"5,19%";"Não há"
"Rifaina";"SP";"3651";"Sim";"6,85%";"10,38%";"12,71%";"Não há"
"Rincão";"SP";"10824";"Sim";"16,66%";"17,17%";"1,03%";"Não há"
"Rinópolis";"SP";"9940";"Sim";"--";"--";"13,08%";"Não há"
"Rio Acima";"MG";"10524";"Não";"0,99%";"13,47%";"4,98%";"17,1%"
"Rio Azul";"PR";"15433";"Sim";"52,48%";"56,2%";"64,43%";"2,7%"
"Rio Bananal";"ES";"19398";"Sim";"61,53%";"66,79%";"32,98%";"12,6%"
"Rio Bom";"PR";"3162";"Sim";"4,02%";"--";"39,82%";"5,3%"
"Rio Bonito";"RJ";"60930";"Não";"56,9%";"27,62%";"3,98%";"0,6%"
"Rio Bonito do Iguaçu";"PR";"13240";"Sim";"50,67%";"--";"75,68%";"Não há"
"Rio Branco";"AC";"419452";"Em elaboração";"39,27%";"77,33%";"3%";"2,1%"
"Rio Branco";"MT";"5147";"Sim";"Atendimento Pleno";"--";"12,57%";"Não há"
"Rio Branco do Ivaí";"PR";"4121";"Em elaboração";"35,23%";"--";"76,41%";"1%"
"Rio Branco do Sul";"PR";"32635";"Sim";"18,8%";"--";"20%";"0,4%"
"Rio Brilhante";"MS";"38844";"Não";"20,71%";"71,85%";"19,91%";"4,7%"
"Rio Casca";"MG";"13384";"Sim";"28,88%";"42,97%";"20,19%";"37,5%"
"Rio Claro";"RJ";"18677";"Sim";"33,74%";"24,51%";"11,09%";"2,2%"
"Rio Claro";"SP";"209548";"Em elaboração";"0,4%";"0,5%";"Atendimento Pleno";"0,6%"
"Rio Crespo";"RO";"3843";"Não";"83,22%";"--";"67,92%";"Não há"
"Rio da Conceição";"TO";"2211";"Não";"8,19%";"--";"1,81%";"Não há"
"Rio das Antas";"SC";"6199";"Sim";"38,72%";"--";"46,48%";"9,3%"
"Rio das Flores";"RJ";"9401";"Sim";"30,39%";"38,05%";"30,39%";"1,2%"
"Rio das Ostras";"RJ";"159529";"Em elaboração";"30,98%";"72,57%";"3,47%";"0,2%"
"Rio das Pedras";"SP";"36233";"Sim";"8,58%";"8,58%";"3,13%";"0,1%"
"Rio de Contas";"BA";"12878";"Sim";"52,32%";"76,2%";"--";"--"
"Rio de Janeiro";"RJ";"6775561";"Sim";"Atendimento Pleno";"10,05%";"Atendimento Pleno";"19,5%"
"Rio do Antônio";"BA";"15521";"Sim";"43,64%";"89,47%";"--";"--"
"Rio do Campo";"SC";"5864";"Sim";"23,81%";"--";"31,74%";"0,5%"
"Rio do Fogo";"RN";"10961";"Em elaboração";"0,6%";"--";"--";"16,1%"
"Rio do Oeste";"SC";"7552";"Sim";"36,26%";"--";"52,18%";"4,7%"
"Rio do Pires";"BA";"11672";"Não";"56,79%";"--";"40,03%";"Não há"
"Rio do Prado";"MG";"5117";"Em elaboração";"43,62%";"62,32%";"47,66%";"9,8%"
"Rio do Sul";"SC";"72931";"Sim";"Atendimento Pleno";"--";"7,21%";"40%"
"Rio Doce";"MG";"2630";"Sim";"1,37%";"1,37%";"4,18%";"1,3%"
"Rio dos Bois";"TO";"2879";"Não";"3,68%";"--";"40,95%";"--"
"Rio dos Cedros";"SC";"11937";"Sim";"36,65%";"--";"32,14%";"7,5%"
"Rio dos Índios";"RS";"2571";"Não";"79%";"--";"45,35%";"Não há"
"Rio Espera";"MG";"5332";"Sim";"68,02%";"--";"43,74%";"5%"
"Rio Formoso";"PE";"23719";"Em elaboração";"48,05%";"84,06%";"20,94%";"18,9%"
"Rio Fortuna";"SC";"4630";"Sim";"51,97%";"--";"50,11%";"50,8%"
"Rio Grande";"RS";"212881";"Sim";"3,95%";"68,24%";"Atendimento Pleno";"--"
"Rio Grande da Serra";"SP";"52009";"Sim";"14,63%";"40,34%";"Atendimento Pleno";"Não há"
"Rio Grande do Piauí";"PI";"6434";"Não";"23,19%";"--";"3,11%";"Não há"
"Rio Largo";"AL";"75662";"Em elaboração";"39,38%";"83,59%";"18,3%";"2,7%"
"Rio Manso";"MG";"5924";"Sim";"48,09%";"--";"Atendimento Pleno";"Não há"
"Rio Maria";"PA";"18208";"Em elaboração";"--";"--";"38,21%";"--"
"Rio Negrinho";"SC";"42684";"Sim";"Atendimento Pleno";"21,05%";"2%";"10,6%"
"Rio Negro";"MS";"4758";"Sim";"27,93%";"--";"11,73%";"0,8%"
"Rio Negro";"PR";"34645";"Sim";"9,19%";"43,94%";"Atendimento Pleno";"8,7%"
"Rio Novo";"MG";"8964";"Em elaboração";"25,31%";"1,19%";"13,46%";"5,4%"
"Rio Novo do Sul";"ES";"11630";"Em elaboração";"49,76%";"--";"Atendimento Pleno";"50%"
"Rio Paranaíba";"MG";"12356";"Sim";"38,15%";"--";"--";"--"
"Rio Pardo";"RS";"38257";"Sim";"31,79%";"--";"0,41%";"0,1%"
"Rio Pardo de Minas";"MG";"31171";"Em elaboração";"64,6%";"86,55%";"58,29%";"0,3%"
"Rio Piracicaba";"MG";"14325";"Não";"26,08%";"1,57%";"9,25%";"23,5%"
"Rio Pomba";"MG";"18007";"Sim";"20,85%";"12,73%";"15,52%";"0,3%"
"Rio Preto";"MG";"5493";"Não";"8,98%";"--";"7,15%";"7,8%"
"Rio Preto da Eva";"AM";"34856";"Não";"47,62%";"--";"48,36%";"--"
"Rio Quente";"GO";"4728";"Não";"11,93%";"75,61%";"8,29%";"Não há"
"Rio Real";"BA";"41209";"Não";"24,4%";"--";"24,43%";"Não há"
"Rio Rufino";"SC";"2484";"Sim";"49,6%";"--";"39,61%";"10%"
"Rio Sono";"TO";"6498";"Em elaboração";"52,28%";"--";"--";"--"
"Rio Tinto";"PB";"24258";"Não";"68,55%";"--";"--";"--"
"Rio Verde";"GO";"247259";"Sim";"10,14%";"13,2%";"7,3%";"Não há"
"Rio Verde de Mato Grosso";"MS";"20025";"Em elaboração";"14,59%";"83,71%";"13,73%";"Não há"
"Rio Vermelho";"MG";"12635";"Sim";"60,82%";"52,28%";"47,76%";"10%"
"Riolândia";"SP";"12856";"Sim";"25,27%";"25,89%";"20,89%";"Não há"
"Riozinho";"RS";"4698";"Sim";"48,53%";"--";"0,96%";"Não há"
"Riqueza";"SC";"4525";"Sim";"31,69%";"--";"55,47%";"1,5%"
"Ritápolis";"MG";"4521";"Em elaboração";"27,78%";"--";"11,52%";"Não há"
"Riversul";"SP";"5364";"Sim";"9,88%";"19,71%";"0,37%";"3,3%"
"Roca Sales";"RS";"11556";"Sim";"42,46%";"--";"2,39%";"26,1%"
"Rochedo";"MS";"5120";"Em elaboração";"--";"--";"41,37%";"Não há"
"Rochedo de Minas";"MG";"2335";"Sim";"10,06%";"10,06%";"9,55%";"1,5%"
"Rodeio";"SC";"11647";"Sim";"21,51%";"--";"9,85%";"1,9%"
"Rodeio Bonito";"RS";"5868";"Sim";"24,95%";"--";"4,57%";"1,3%"
"Rodeiro";"MG";"8333";"Sim";"23,71%";"1,82%";"19,09%";"Não há"
"Rodelas";"BA";"9548";"Não";"5,32%";"5,32%";"5,74%";"Não há"
"Rodolfo Fernandes";"RN";"4457";"Não";"Atendimento Pleno";"--";"8,01%";"Não há"
"Rodrigues Alves";"AC";"19767";"Sim";"71,55%";"--";"47,34%";"50%"
"Rolador";"RS";"2270";"Sim";"Atendimento Pleno";"--";"52,86%";"Não há"
"Rolândia";"PR";"68165";"Sim";"0,01%";"35,56%";"5,38%";"0,1%"
"Rolante";"RS";"21591";"Sim";"45,14%";"--";"2,04%";"12,8%"
"Rolim de Moura";"RO";"55748";"Sim";"18,2%";"97,6%";"18,7%";"2,2%"
"Romaria";"MG";"3507";"Não";"--";"--";"--";"--"
"Romelândia";"SC";"4584";"Sim";"53,6%";"--";"56,37%";"3,8%"
"Roncador";"PR";"9447";"Sim";"0,01%";"--";"38,29%";"0,1%"
"Ronda Alta";"RS";"10633";"Sim";"32,81%";"--";"Atendimento Pleno";"1%"
"Rondinha";"RS";"5033";"Sim";"58,02%";"75,16%";"49,53%";"2%"
"Rondolândia";"MT";"4069";"Sim";"--";"--";"--";"--"
"Rondon";"PR";"9664";"Sim";"0,01%";"42,16%";"--";"--"
"Rondon do Pará";"PA";"53242";"Sim";"27,31%";"--";"26,12%";"Não há"
"Rondonópolis";"MT";"239613";"Em elaboração";"Atendimento Pleno";"3,81%";"0,55%";"--"
"Roque Gonzales";"RS";"6750";"Em elaboração";"Atendimento Pleno";"--";"40,74%";"1,4%"
"Rorainópolis";"RR";"31387";"Sim";"46,56%";"--";"--";"--"
"Rosana";"SP";"15929";"Sim";"0,15%";"1,81%";"19,47%";"2,6%"
"Rosário";"MA";"43243";"Não";"1,77%";"--";"41,25%";"Não há"
"Rosário da Limeira";"MG";"4648";"Sim";"46,73%";"34,81%";"20,12%";"1%"
"Rosário do Catete";"SE";"11158";"Não";"31,35%";"10,26%";"Atendimento Pleno";"1,1%"
"Rosário do Ivaí";"PR";"4595";"Sim";"13,47%";"46,05%";"26,92%";"Não há"
"Rosário do Sul";"RS";"39210";"Não";"12,03%";"85,98%";"Atendimento Pleno";"0,2%"
"Rosário Oeste";"MT";"16999";"Não";"--";"--";"--";"Não há"
"Roseira";"SP";"10888";"Sim";"4,29%";"6,58%";"5,79%";"Não há"
"Roteiro";"AL";"6634";"Sim";"--";"--";"0,51%";"2%"
"Rubelita";"MG";"5609";"Não";"36,53%";"78,43%";"67,62%";"2,6%"
"Rubiácea";"SP";"3195";"Não";"10,17%";"11,33%";"42,72%";"Não há"
"Rubiataba";"GO";"20012";"Em elaboração";"18,16%";"21,32%";"15,05%";"Não há"
"Rubim";"MG";"10269";"Sim";"28,94%";"25,02%";"22,34%";"--"
"Rubinéia";"SP";"3191";"Em elaboração";"Atendimento Pleno";"6,52%";"17,71%";"0,9%"
"Rurópolis";"PA";"52473";"Não";"73,7%";"--";"31,11%";"0,7%"
"Russas";"CE";"79550";"Em elaboração";"53,11%";"83,21%";"5,72%";"Não há"
"Ruy Barbosa";"BA";"30900";"Sim";"19,94%";"94,85%";"26,08%";"1%"
"Ruy Barbosa";"RN";"3584";"Em elaboração";"7,37%";"--";"30,25%";"Não há"
"Sabará";"MG";"137877";"Sim";"23,39%";"36,97%";"Atendimento Pleno";"28,4%"
"Sabáudia";"PR";"6954";"Não";"0,01%";"--";"16,39%";"Não há"
"Sabino";"SP";"5638";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"12,31%";"Não há"
"Sabinópolis";"MG";"15364";"Em elaboração";"35,45%";"55,56%";"27,1%";"3,8%"
"Saboeiro";"CE";"15757";"Em elaboração";"75,64%";"98,75%";"20,99%";"Não há"
"Sacramento";"MG";"26556";"Sim";"Atendimento Pleno";"Atendimento Pleno";"19,34%";"Não há"
"Sagrada Família";"RS";"2601";"Em elaboração";"--";"--";"--";"--"
"Sagres";"SP";"2427";"Em elaboração";"8,82%";"13,23%";"Atendimento Pleno";"Não há"
"Sairé";"PE";"9600";"Não";"Atendimento Pleno";"--";"16,67%";"0,2%"
"Saldanha Marinho";"RS";"2596";"Sim";"32,16%";"--";"22,96%";"Não há"
"Sales";"SP";"6481";"Sim";"1,14%";"1,14%";"9,98%";"Não há"
"Sales Oliveira";"SP";"12103";"Sim";"0,85%";"9,94%";"9,45%";"Não há"
"Salesópolis";"SP";"17363";"Sim";"36,71%";"45,45%";"Atendimento Pleno";"3,9%"
"Salete";"SC";"7674";"Sim";"23,77%";"--";"32,46%";"0,5%"
"Salgadinho";"PB";"3975";"Não";"80,38%";"--";"34,29%";"--"
"Salgadinho";"PE";"11214";"Não";"66,07%";"--";"--";"--"
"Salgado";"SE";"20051";"Sim";"37,35%";"--";"50,87%";"0,9%"
"Salgado de São Félix";"PB";"12123";"Em elaboração";"63,44%";"--";"46,38%";"27,3%"
"Salgado Filho";"PR";"3389";"Sim";"7,2%";"--";"48,8%";"12,8%"
"Salgueiro";"PE";"61561";"Em elaboração";"Atendimento Pleno";"59,79%";"17,72%";"Não há"
"Salinas";"MG";"41864";"Sim";"13,28%";"37,02%";"8,2%";"5,7%"
"Salinas da Margarida";"BA";"16047";"Não";"0,47%";"--";"44,29%";"Não há"
"Salinópolis";"PA";"41164";"Em elaboração";"10,77%";"--";"--";"--"
"Salitre";"CE";"16714";"Em elaboração";"79,95%";"96,78%";"40,17%";"Não há"
"Salmourão";"SP";"5372";"Não";"7,73%";"8,82%";"0,41%";"--"
"Saloá";"PE";"15880";"Não";"61,72%";"--";"37,37%";"--"
"Saltinho";"SC";"3727";"Sim";"45,08%";"--";"62,44%";"Não há"
"Saltinho";"SP";"8498";"Sim";"6,7%";"16,55%";"Atendimento Pleno";"0,2%"
"Salto";"SP";"120779";"Sim";"Atendimento Pleno";"2,99%";"Atendimento Pleno";"0,3%"
"Salto da Divisa";"MG";"7014";"Em elaboração";"23,35%";"--";"--";"--"
"Salto de Pirapora";"SP";"46285";"Sim";"Atendimento Pleno";"18,71%";"Atendimento Pleno";"0,1%"
"Salto do Céu";"MT";"3226";"Sim";"Atendimento Pleno";"--";"31,12%";"0,9%"
"Salto do Itararé";"PR";"4862";"Em elaboração";"0,02%";"42,41%";"--";"--"
"Salto do Jacuí";"RS";"12512";"Sim";"14,62%";"65,15%";"13,2%";"Não há"
"Salto do Lontra";"PR";"14957";"Não";"20,81%";"49,37%";"45,72%";"2,3%"
"Salto Grande";"SP";"9396";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"9,72%";"Não há"
"Salto Veloso";"SC";"4792";"Sim";"11,87%";"--";"Atendimento Pleno";"Não há"
"Salvador";"BA";"2900319";"Sim";"1,17%";"11,64%";"3,35%";"Não há"
"Salvador das Missões";"RS";"2734";"Em elaboração";"0,07%";"--";"37,82%";"Não há"
"Salvador do Sul";"RS";"7975";"Em elaboração";"40,58%";"--";"40,58%";"--"
"Salvaterra";"PA";"24392";"Não";"68,36%";"--";"37,21%";"5,5%"
"Sambaíba";"MA";"5686";"Não";"58,76%";"--";"54,56%";"Não há"
"Sampaio";"TO";"4876";"Não";"6,56%";"--";"--";"--"
"Sananduva";"RS";"16382";"Sim";"30,36%";"--";"30,42%";"1,9%"
"Sanclerlândia";"GO";"7630";"Sim";"21,07%";"36,19%";"19,63%";"Não há"
"Sandolândia";"TO";"3371";"Sim";"4,3%";"--";"46,96%";"Não há"
"Sandovalina";"SP";"4405";"Não";"28,24%";"28,72%";"30,22%";"Não há"
"Sangão";"SC";"13128";"Não";"58,87%";"--";"46,68%";"Não há"
"Sanharó";"PE";"27308";"Em elaboração";"20,82%";"--";"23,1%";"--"
"Sant'Ana do Livramento";"RS";"75647";"Sim";"8,62%";"61,26%";"8,78%";"0,6%"
"Santa Adélia";"SP";"15639";"Sim";"5,11%";"2,17%";"5,39%";"--"
"Santa Albertina";"SP";"6036";"Não";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"--"
"Santa Amélia";"PR";"3208";"Não";"0,03%";"--";"6,48%";"1,8%"
"Santa Bárbara";"BA";"20971";"Não";"43,65%";"--";"35,63%";"Não há"
"Santa Bárbara";"MG";"31873";"Sim";"27,29%";"7,92%";"1,8%";"1,6%"
"Santa Bárbara d'Oeste";"SP";"195278";"Sim";"0,8%";"1,59%";"0,44%";"--"
"Santa Bárbara de Goiás";"GO";"6701";"Não";"9,61%";"--";"9,48%";"Não há"
"Santa Bárbara do Leste";"MG";"8212";"Sim";"48,47%";"--";"--";"--"
"Santa Bárbara do Monte Verde";"MG";"3212";"Sim";"--";"--";"--";"--"
"Santa Bárbara do Pará";"PA";"21811";"Em elaboração";"34,21%";"99,4%";"68,36%";"Não há"
"Santa Bárbara do Sul";"RS";"7813";"Sim";"20,89%";"--";"12,77%";"0,5%"
"Santa Bárbara do Tugúrio";"MG";"4385";"Sim";"52,47%";"--";"--";"--"
"Santa Branca";"SP";"14925";"Sim";"33,09%";"40,85%";"6,2%";"6,8%"
"Santa Brígida";"BA";"13917";"Não";"48,82%";"72,9%";"45,86%";"1,2%"
"Santa Carmem";"MT";"4600";"Sim";"24,59%";"--";"24,59%";"Não há"
"Santa Cecília";"PB";"6526";"Sim";"--";"--";"--";"--"
"Santa Cecília";"SC";"17004";"Sim";"12,06%";"--";"Atendimento Pleno";"Não há"
"Santa Cecília do Pavão";"PR";"3253";"Não";"23,15%";"37,72%";"16,17%";"0,2%"
"Santa Cecília do Sul";"RS";"1630";"Sim";"Atendimento Pleno";"--";"38,65%";"Não há"
"Santa Clara d'Oeste";"SP";"2111";"Não";"Atendimento Pleno";"Atendimento Pleno";"0,62%";"Não há"
"Santa Clara do Sul";"RS";"6755";"Sim";"Atendimento Pleno";"--";"Atendimento Pleno";"Não há"
"Santa Cruz";"PB";"6579";"Não";"34,76%";"43,76%";"30,55%";"Não há"
"Santa Cruz";"PE";"15713";"Não";"53,83%";"--";"64,23%";"Não há"
"Santa Cruz";"RN";"40295";"Não";"--";"--";"14,8%";"0,2%"
"Santa Cruz Cabrália";"BA";"28058";"Sim";"19,24%";"55,16%";"--";"Não há"
"Santa Cruz da Baixa Verde";"PE";"12708";"Não";"98,5%";"--";"55,15%";"Não há"
"Santa Cruz da Conceição";"SP";"4584";"Sim";"31,17%";"34,99%";"12,74%";"Não há"
"Santa Cruz da Esperança";"SP";"2166";"Sim";"11,36%";"14,59%";"32,27%";"Não há"
"Santa Cruz da Vitória";"BA";"6241";"Em elaboração";"24,08%";"--";"23,94%";"1,8%"
"Santa Cruz das Palmeiras";"SP";"35102";"Sim";"3,11%";"3,11%";"3,11%";"Não há"
"Santa Cruz de Goiás";"GO";"2782";"Não";"65,82%";"--";"77,71%";"Não há"
"Santa Cruz de Minas";"MG";"8723";"Sim";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"4,2%"
"Santa Cruz de Monte Castelo";"PR";"7705";"Sim";"0,01%";"75,74%";"28,9%";"Não há"
"Santa Cruz de Salinas";"MG";"4074";"Não";"57,17%";"73,83%";"61,27%";"--"
"Santa Cruz do Arari";"PA";"10496";"Não";"10,49%";"--";"50,87%";"Não há"
"Santa Cruz do Capibaribe";"PE";"111812";"Não";"30,73%";"60,07%";"15,04%";"--"
"Santa Cruz do Escalvado";"MG";"4693";"Sim";"71,81%";"42,47%";"33,94%";"Não há"
"Santa Cruz do Piauí";"PI";"6254";"Em elaboração";"16,26%";"--";"--";"--"
"Santa Cruz do Rio Pardo";"SP";"48207";"Sim";"Atendimento Pleno";"Atendimento Pleno";"0,55%";"0,2%"
"Santa Cruz do Sul";"RS";"132271";"Sim";"11,14%";"79,61%";"Atendimento Pleno";"0,9%"
"Santa Cruz do Xingu";"MT";"2700";"Não";"--";"--";"27,78%";"Não há"
"Santa Cruz dos Milagres";"PI";"4046";"Não";"--";"--";"41,89%";"3,1%"
"Santa Efigênia de Minas";"MG";"4354";"Sim";"41,09%";"--";"33,62%";"--"
"Santa Ernestina";"SP";"5577";"Sim";"Atendimento Pleno";"Atendimento Pleno";"0,02%";"Não há"
"Santa Fé";"PR";"12330";"Não";"0,02%";"33,8%";"2,68%";"--"
"Santa Fé de Goiás";"GO";"5585";"Sim";"20,13%";"--";"19,96%";"Não há"
"Santa Fé de Minas";"MG";"3806";"Sim";"49,16%";"--";"--";"--"
"Santa Fé do Araguaia";"TO";"7678";"Não";"--";"--";"33,72%";"Não há"
"Santa Fé do Sul";"SP";"32796";"Sim";"3,51%";"3,51%";"3,51%";"Não há"
"Santa Filomena";"PE";"14645";"Não";"62,12%";"--";"83,35%";"Não há"
"Santa Filomena";"PI";"6256";"Em elaboração";"77,35%";"--";"41,86%";"Não há"
"Santa Filomena do Maranhão";"MA";"7878";"Em elaboração";"78,34%";"--";"67,53%";"Não há"
"Santa Gertrudes";"SP";"27850";"Sim";"1,06%";"1,06%";"1,06%";"0,4%"
"Santa Helena";"MA";"42829";"Sim";"99,49%";"--";"15,94%";"24,4%"
"Santa Helena";"PB";"5853";"Não";"39,52%";"Atendimento Pleno";"49,77%";"3,4%"
"Santa Helena";"PR";"27036";"Sim";"46,24%";"59,28%";"--";"--"
"Santa Helena";"SC";"2178";"Sim";"8,17%";"--";"62,99%";"Não há"
