Par&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2014],PIB per capita - R$ [2020],
Marapanim,1504406,marapaniense,CLEITON ANDERSON FERREIRA DIAS,804.625,26471,32.90,99,0.609,12.86,50720.95597,52498.34631,8701.20,
Marituba,1504422,maritubense,PATRICIA RONIELLY RAMOS ALENCAR MENDES,103.214,110515,1070.74,95.5,0.676,12.61,286754.42845,273770.00363,15576.91,
Medicil&acirc;ndia,1504455,medicilandense,JULIO CESAR DO EGITO,8272.629,27077,3.27,94.5,0.582,6.3,57303.55642,56785.70639,27408.74,
Melga&ccedil;o,1504505,melgacense,JOSE DELCICLEY PACHECO VIEGAS,6774.065,27876,4.12,85.4,0.418,18.52,59151.30599,67634.09176,7035.00,
Mocajuba,1504604,mocajubense,COSME MACEDO PEREIRA,871.171,27198,31.22,96.5,0.575,12.47,57577.13576,57750.10683,15738.68,
Moju,1504703,mojuense,MARIA NILMA SILVA DE LIMA,9094.139,83039,9.13,93.1,0.547,18.36,150468.64951,164104.15873,15227.44,
Moju&iacute; dos Campos,1504752,mojuiense,MARCO ANTONIO MACHADO LIMA,4988.236,23501,4.71,-,-,10.56,39438.712,41276.38718,11992.63,
Monte Alegre,1504802,montalegrense,MATHEUS ALMEIDA DOS SANTOS,18152.559,60016,3.31,96.1,0.589,15.87,123780.33444,126786.06123,12210.07,
Muan&aacute;,1504901,muanaense,EDER AZEVEDO MAGALH&Atilde;ES,3763.337,45368,12.06,92.6,0.547,26.71,N&atilde;o informado,N&atilde;o informado,7874.96,
Nova Esperan&ccedil;a do Piri&aacute;,1504950,piriaense,ALCINEIA DO SOCORRO CARMO DOS SANTOS,2808.195,20478,7.29,91.2,0.502,16.62,44096.29947,45607.61844,12000.81,
Nova Ipixuna,1504976,nova-ipixunense,MARIA DA GRA&Ccedil;A MEDEIROS MATOS,1564.184,13955,8.92,95.1,0.581,4.44,36555.26941,35329.94257,10036.28,
